                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2967,                 1.0053,                 1.4617,                0.90304,                0.92593,                0.96214,                0.61701,                  1.243,                0.69649,                 1.4765,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.2674,                0.97649,                 1.4266,                0.93094,                0.99854,                0.98741,                0.69905,                 1.1082,                0.63554,                 1.3254,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.2334,                0.92753,                 1.4217,                0.84076,                0.85185,                0.90107,                0.58586,                  1.234,                0.86909,                 1.4094,               0.001307,               0.001307,               0.001307
                     38,                 1.3032,                0.96694,                 1.4965,                0.95829,                0.96296,                0.98965,                 0.6772,                   1.22,                0.62369,                 1.3829,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.2722,                0.96757,                 1.4289,                0.89734,                0.92593,                0.97629,                0.69583,                 1.1376,                0.66722,                 1.3328,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.2534,                0.97208,                 1.4381,                0.85154,                0.85185,                0.93049,                0.64729,                 1.1525,                0.75985,                 1.3641,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.2719,                 0.9651,                 1.4322,                0.94985,                0.96296,                 0.9792,                0.67907,                 1.1615,                0.66306,                 1.3987,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.2463,                 0.9513,                 1.4122,                0.87046,                0.92593,                0.97406,                0.67015,                 1.1619,                0.74531,                 1.3442,               0.001208,               0.001208,               0.001208
                     43,                 1.2637,                0.96905,                 1.4307,                0.88841,                0.96296,                0.97015,                0.66108,                 1.0866,                0.67104,                 1.3125,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.2089,                0.89243,                 1.3983,                0.92221,                0.92593,                0.97745,                 0.6827,                 1.1145,                0.65396,                 1.3717,              0.0011684,              0.0011684,              0.0011684
                     45,                  1.217,                0.91699,                  1.418,                0.89171,                0.91519,                0.96735,                0.64634,                 1.2386,                0.71798,                 1.4175,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.1885,                0.88377,                 1.3921,                0.96187,                0.93461,                0.99052,                0.70161,                 1.0638,                0.60221,                 1.3327,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.1992,                0.86407,                 1.3817,                0.93559,                0.88889,                 0.9679,                0.68445,                  1.119,                0.58414,                 1.3301,               0.001109,               0.001109,               0.001109
                     48,                 1.1852,                0.88261,                 1.4032,                0.98717,                0.88889,                0.98629,                0.65115,                 1.1338,                0.63173,                 1.4016,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.1751,                0.84531,                 1.3597,                0.84683,                      1,                0.96327,                0.66378,                 1.1145,                0.64061,                 1.3561,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.1637,                0.88084,                 1.3912,                0.91294,                0.92593,                0.96295,                 0.6597,                 1.1131,                0.68034,                 1.3494,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.2048,                0.84832,                 1.4025,                0.95681,                0.85185,                0.96399,                0.64588,                 1.1214,                0.66422,                 1.3936,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.1839,                0.85354,                 1.3543,                 0.8526,                0.85705,                0.95611,                 0.6369,                 1.2898,                0.66426,                 1.6059,                0.00101,                0.00101,                0.00101
                     53,                 1.1466,                0.83235,                 1.3455,                0.95927,                0.87268,                0.97396,                0.68647,                 1.1202,                0.62944,                 1.3508,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.1291,                0.79918,                 1.3131,                0.89949,                0.99448,                0.95683,                0.69824,                 1.0972,                0.59458,                 1.3257,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.1391,                0.82898,                 1.3276,                0.81379,                0.96296,                0.95233,                0.67165,                 1.0649,                0.65061,                 1.3145,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.1083,                0.79985,                 1.3144,                0.92257,                0.88282,                0.95905,                0.67725,                 1.0514,                0.68926,                 1.2711,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.1265,                0.78467,                 1.3261,                 0.8971,                0.96296,                 0.9796,                0.70832,                 1.0384,                0.60765,                  1.301,               0.000911,               0.000911,               0.000911
                     58,                 1.1181,                0.78588,                 1.3324,                0.97827,                0.96296,                0.99293,                 0.6868,                 1.1583,                0.58459,                  1.342,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.1035,                0.77272,                 1.3058,                0.88758,                      1,                0.98108,                0.63841,                 1.2271,                0.63997,                 1.4405,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.0776,                 0.7564,                 1.3083,                0.87923,                0.96296,                0.96869,                0.66861,                 1.0372,                 0.6309,                 1.3436,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.0938,                0.74581,                 1.2963,                0.85615,                0.88193,                0.95271,                0.68027,                 1.0818,                0.71538,                 1.3446,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.0839,                0.76613,                  1.316,                0.92934,                      1,                0.96826,                0.68967,                 1.0222,                0.57974,                 1.3243,               0.000812,               0.000812,               0.000812
                     63,                 1.0616,                0.76642,                 1.3057,                0.86205,                0.96296,                0.96727,                  0.694,                 1.0581,                0.61543,                 1.3369,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.0672,                0.74401,                 1.2896,                0.89765,                      1,                0.96295,                0.68002,                 1.1199,                0.60653,                 1.3567,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.0374,                0.73073,                 1.2829,                 0.8649,                0.96296,                0.95475,                0.65464,                 1.1783,                0.64397,                 1.3204,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.0893,                0.74795,                 1.2965,                 0.8936,                      1,                  0.964,                0.70248,                 1.0908,                0.56721,                 1.3321,              0.0007328,              0.0007328,              0.0007328
                     67,                  1.032,                0.69902,                 1.2642,                0.89137,                0.96296,                0.97491,                0.70676,                 1.0913,                  0.585,                 1.3497,               0.000713,               0.000713,               0.000713
                     68,                 1.0412,                0.71784,                 1.2908,                0.92142,                0.92593,                0.94576,                0.66994,                  1.079,                0.67602,                 1.3876,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.0234,                0.71692,                 1.2652,                0.86514,                 0.9507,                0.96114,                0.68641,                 1.1016,                0.61414,                 1.3039,              0.0006734,              0.0006734,              0.0006734
                     70,                0.99662,                0.70149,                  1.236,                0.92333,                0.96296,                0.96829,                0.69999,                 1.0894,                 0.6064,                 1.3249,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.0085,                0.71242,                  1.269,                0.89959,                0.99562,                 0.9717,                0.69504,                 1.0743,                0.57878,                  1.302,              0.0006338,              0.0006338,              0.0006338
                     72,                0.98838,                0.69448,                 1.2221,                 0.8649,                0.94874,                0.95679,                0.69138,                  1.112,                0.60958,                 1.2917,               0.000614,               0.000614,               0.000614
                     73,                 1.0134,                 0.6848,                   1.25,                 0.8998,                0.99786,                 0.9876,                0.68608,                 1.0813,                0.58367,                 1.3157,              0.0005942,              0.0005942,              0.0005942
                     74,                0.99552,                0.68929,                 1.2691,                0.91262,                0.92593,                0.97249,                0.67578,                 1.1595,                0.59699,                 1.3299,              0.0005744,              0.0005744,              0.0005744
                     75,                0.98277,                0.67548,                 1.2562,                0.86899,                      1,                0.95393,                0.69637,                 1.0373,                0.58987,                 1.3268,              0.0005546,              0.0005546,              0.0005546
